name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Chris Van Hollen,V000128,MD,,Democrat,Senator,ChrisVanHollen,chrisvanhollen,RepChrisVanHollen,chrisvanhollen,https://www.vanhollen.senate.gov
Nydia Velázquez,V000081,NY,7,Democrat,Representative,NydiaVelazquez,8037068318,nydiavelazquez,,https://velazquez.house.gov
Tim Walberg,W000798,MI,5,Republican,Representative,RepWalberg,RepWalberg,RepWalberg,repwalberg,https://walberg.house.gov
Debbie Wasserman Schultz,W000797,FL,25,Democrat,Representative,RepDWStweets,RepDWS,RepWassermanSchultz,RepDWSTweets,https://wassermanschultz.house.gov
Maxine Waters,W000187,CA,43,Democrat,Representative,RepMaxineWaters,MaxineWaters,MaxineWaters,repmaxinewaters,https://waters.house.gov
Daniel Webster,W000806,FL,11,Republican,Representative,RepWebster,RepWebster,repdanwebster,,https://webster.house.gov
Peter Welch,W000800,VT,,Democrat,Senator,PeterWelch,PeterWelch,reppeterwelch,reppeterwelch,https://www.welch.senate.gov
Joe Wilson,W000795,SC,2,Republican,Representative,RepJoeWilson,JoeWilson,RepJoeWilson,repjoewilson,https://joewilson.house.gov
Frederica Wilson,W000808,FL,24,Democrat,Representative,RepWilson,RepWilson,repfredericawilson,repwilson,https://wilson.house.gov
Robert Wittman,W000804,VA,1,Republican,Representative,RobWittman,RepRobWittman,RobWittman,reprobwittman,https://wittman.house.gov
Steve Womack,W000809,AR,3,Republican,Representative,Rep_SteveWomack,RepSteveWomack,CongressmanWomack,rep_stevewomack,https://womack.house.gov
Ron Wyden,W000779,OR,,Democrat,Senator,RonWyden,senatorronwyden,senronwyden,ronwyden,https://www.wyden.senate.gov
Todd Young,Y000064,IN,,Republican,Senator,SenToddYoung,SenatorToddYoung,RepToddYoung,sentoddyoung,https://www.young.senate.gov
Mark Amodei,A000369,NV,2,Republican,Representative,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,MarkAmodeiNV2,https://amodei.house.gov
Suzanne Bonamici,B001278,OR,1,Democrat,Representative,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,RepBonamici,https://bonamici.house.gov
Suzan DelBene,D000617,WA,1,Democrat,Representative,RepDelBene,RepDelBene,,repdelbene,https://delbene.house.gov
Thomas Massie,M001184,KY,4,Republican,Representative,RepThomasMassie,RepThomasMassie,repthomasmassie,repthomasmassie,https://massie.house.gov
Brian Schatz,S001194,HI,,Democrat,Senator,SenBrianSchatz,SenBrianSchatz,senbrianschatz,senbrianschatz,https://www.schatz.senate.gov
Bill Foster,F000454,IL,11,Democrat,Representative,RepBillFoster,CongressmanBillFoster,RepBillFoster,,https://foster.house.gov
Dina Titus,T000468,NV,1,Democrat,Representative,RepDinaTitus,CongresswomanTitus,CongresswomanTitus,dinatitusnv,https://titus.house.gov
Tom Cotton,C001095,AR,,Republican,Senator,SenTomCotton,SenatorTomCotton,RepTomCotton,,https://www.cotton.senate.gov
Jared Huffman,H001068,CA,2,Democrat,Representative,RepHuffman,RepHuffman,rephuffman,rephuffman,https://huffman.house.gov
Ami Bera,B001287,CA,6,Democrat,Representative,RepBera,RepAmiBera,repamibera,repbera,https://bera.house.gov
Eric Swalwell,S001193,CA,14,Democrat,Representative,RepSwalwell,CongressmanEricSwalwell,ericswalwell,repswalwell,https://swalwell.house.gov
Julia Brownley,B001285,CA,26,Democrat,Representative,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,RepBrownley,https://juliabrownley.house.gov
Raul Ruiz,R000599,CA,25,Democrat,Representative,RepRaulRuizMD,CongressmanRaulRuizMD,repraulruiz,,https://ruiz.house.gov
Mark Takano,T000472,CA,39,Democrat,Representative,RepMarkTakano,RepMarkTakano,RepMarkTakano,repmarktakano,https://takano.house.gov
Juan Vargas,V000130,CA,52,Democrat,Representative,RepJuanVargas,RepJuanVargas,RepJuanVargas,repjuanvargas,https://vargas.house.gov
Scott Peters,P000608,CA,50,Democrat,Representative,RepScottPeters,RepScottPeters,,repscottpeters,https://scottpeters.house.gov
Lois Frankel,F000462,FL,22,Democrat,Representative,RepLoisFrankel,RepLoisFrankel,reploisfrankel,reploisfrankel,https://frankel.house.gov
Tammy Duckworth,D000622,IL,,Democrat,Senator,SenDuckworth,SenDuckworth,repduckworth,SenDuckworth,https://www.duckworth.senate.gov
Garland Barr,B001282,KY,6,Republican,Representative,RepAndyBarr,RepAndyBarr,RepAndyBarr,RepAndyBarr,https://barr.house.gov
Elizabeth Warren,W000817,MA,,Democrat,Senator,SenWarren,senatorelizabethwarren,senelizabethwarren,senwarren,https://www.warren.senate.gov
Angus King,K000383,ME,,Independent,Senator,SenAngusKing,SenatorAngusSKingJr,SenatorAngusKing,,https://www.king.senate.gov
Ann Wagner,W000812,MO,2,Republican,Representative,RepAnnWagner,RepAnnWagner,,repannwagner,https://wagner.house.gov
Steve Daines,D000618,MT,,Republican,Senator,SteveDaines,SteveDainesMT,SteveDainesMT,stevedaines,https://www.daines.senate.gov
Richard Hudson,H001067,NC,9,Republican,Representative,RepRichHudson,RepRichHudson,RepRichHudson,,https://hudson.house.gov
Kevin Cramer,C001096,ND,,Republican,Senator,SenKevinCramer,CongressmanKevinCramer,kevincramer,repkevincramer,https://www.cramer.senate.gov
Deb Fischer,F000463,NE,,Republican,Senator,SenatorFischer,senatordebfischer,senatordebfischer,senatorfischer,https://www.fischer.senate.gov
Grace Meng,M001188,NY,6,Democrat,Representative,RepGraceMeng,repgracemeng,,,https://meng.house.gov
Hakeem Jeffries,J000294,NY,8,Democrat,Representative,RepJeffries,RepHakeemJeffries,,repjeffries,https://jeffries.house.gov
Joyce Beatty,B001281,OH,3,Democrat,Representative,RepBeatty,RepJoyceBeatty,,repbeatty,https://beatty.house.gov
David Joyce,J000295,OH,14,Republican,Representative,RepDaveJoyce,RepDaveJoyce,repdavejoyce,repdavejoyce,https://joyce.house.gov
