name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Ayanna Pressley,P000617,MA,7,Democrat,Representative,RepPressley,RepAyannaPressley,UCkhjut8oXdxN7HGg5eRT9Fw,RepAyannaPressley,https://pressley.house.gov
Elissa Slotkin,S001208,MI,,Democrat,Senator,RepSlotkin,SenElissaSlotkin,,senslotkin,https://www.slotkin.senate.gov
Haley Stevens,S001215,MI,11,Democrat,Representative,RepHaleyStevens,RepHaleyStevens,,,https://stevens.house.gov
Rashida Tlaib,T000481,MI,12,Democrat,Representative,RepRashida,RepRashida,UCl5GK07sD5TZIhKcsDNSExA,reprashida,https://tlaib.house.gov
Angie Craig,C001119,MN,2,Democrat,Representative,RepAngieCraig,RepAngieCraig,,,https://craig.house.gov
Ilhan Omar,O000173,MN,5,Democrat,Representative,Ilhan,,,,https://omar.house.gov
Pete Stauber,S001212,MN,8,Republican,Representative,RepPeteStauber,RepPeteStauber,,,https://stauber.house.gov
Michael Guest,G000591,MS,3,Republican,Representative,RepMichaelGuest,RepMichaelGuest,,,https://guest.house.gov
Chris Pappas,P000614,NH,1,Democrat,Representative,RepChrisPappas,,,,https://pappas.house.gov
Jefferson Van Drew,V000133,NJ,2,Republican,Representative,Congressman_JVD,CongressmanJVD,UCc5AGO_bQLeiv313Bbr35fg,jeffvandrew,https://vandrew.house.gov
Andy Kim,K000394,NJ,,Democrat,Senator,,SenatorAndyKim,,SenatorAndyKim,https://www.kim.senate.gov
Susie Lee,L000590,NV,3,Democrat,Representative,RepSusieLee,RepSusieLee,,repsusielee,https://susielee.house.gov
Alexandria Ocasio-Cortez,O000172,NY,14,Democrat,Representative,RepAOC,repaoc,,,https://ocasio-cortez.house.gov
Madeleine Dean,D000631,PA,4,Democrat,Representative,RepDean,RepMadeleineDean,UCHj4veUyhPzzOW-Jvn7MqUg,repmadeleinedean,https://dean.house.gov
Chrissy Houlahan,H001085,PA,6,Democrat,Representative,RepHoulahan,RepChrissyHoulahan,UCGydnnhsUZqFBscmcWcT-zQ,repchrissyhoulahan,https://houlahan.house.gov
Daniel Meuser,M001204,PA,9,Republican,Representative,RepMeuser,RepMeuser,,,https://meuser.house.gov
John Joyce,J000302,PA,13,Republican,Representative,RepJohnJoyce,,,,https://johnjoyce.house.gov
Guy Reschenthaler,R000610,PA,14,Republican,Representative,GReschenthaler,GReschenthaler,RepGuyReschenthaler,greschenthaler,https://reschenthaler.house.gov
William Timmons,T000480,SC,4,Republican,Representative,RepTimmons,reptimmons,,reptimmons,https://timmons.house.gov
Dusty Johnson,J000301,SD,0,Republican,Representative,RepDustyJohnson,,,,https://dustyjohnson.house.gov
Tim Burchett,B001309,TN,2,Republican,Representative,RepTimBurchett,,,,https://burchett.house.gov
John Rose,R000612,TN,6,Republican,Representative,RepJohnRose,repjohnrose,,,https://johnrose.house.gov
Dan Crenshaw,C001120,TX,2,Republican,Representative,RepDanCrenshaw,RepDanCrenshaw,UC2XDiCjAHtJqnSEzrHAY5IQ,dancrenshawtx,https://crenshaw.house.gov
Lance Gooden,G000589,TX,5,Republican,Representative,,,UCaEs0pYlL_1cLlPBHfl0RIg,,https://gooden.house.gov
Lizzie Fletcher,F000468,TX,7,Democrat,Representative,RepFletcher,RepFletcher,UCIWDLoDPvawP118TNWi-9rg,repfletcher,https://fletcher.house.gov
Veronica Escobar,E000299,TX,16,Democrat,Representative,RepEscobar,RepEscobar,UC46TX2P8K0CA_4gZv8_R2Og,repescobar,https://escobar.house.gov
Chip Roy,R000614,TX,21,Republican,Representative,RepChipRoy,,,,https://roy.house.gov
Sylvia Garcia,G000587,TX,29,Democrat,Representative,RepSylviaGarcia,RepSylviaGarcia,,,https://sylviagarcia.house.gov
Ben Cline,C001118,VA,6,Republican,Representative,RepBenCline,RepBenCline,@congressmanbencline8000,repbencline,https://cline.house.gov
Kim Schrier,S001216,WA,8,Democrat,Representative,RepKimSchrier,repkimschrier,,,https://schrier.house.gov
Bryan Steil,S001213,WI,1,Republican,Representative,RepBryanSteil,,,,https://steil.house.gov
Carol Miller,M001205,WV,1,Republican,Representative,RepCarolMiller,RepCarolMiller,,,https://miller.house.gov
Rick Scott,S001217,FL,,Republican,Senator,SenRickScott,RickScottSenOffice,,flsenrickscott,https://www.rickscott.senate.gov
Joshua Hawley,H001089,MO,,Republican,Senator,SenHawleyPress,SenatorHawley,UCMzt8xq6qQ3XQ_DlNfJx0-w,senatorhawley,https://www.hawley.senate.gov
Jared Golden,G000592,ME,2,Democrat,Representative,RepGolden,,,,https://golden.house.gov
Gregory Murphy,M001210,NC,3,Republican,Representative,RepGregMurphy,RepGregMurphy,,repgregmurphy,https://murphy.house.gov
Kweisi Mfume,M000687,MD,7,Democrat,Representative,RepKweisiMfume,RepKweisiMfume,UCbE6PJy-4U0DxosEW2TBQRA,repkweisimfume,https://mfume.house.gov
Thomas Tiffany,T000165,WI,7,Republican,Representative,RepTiffany,RepTiffany,,,https://tiffany.house.gov
Mark Kelly,K000377,AZ,,Democrat,Senator,SenMarkKelly,SenMarkKelly,SenMarkKelly,senmarkkelly,https://www.kelly.senate.gov
Cynthia Lummis,L000571,WY,,Republican,Senator,SenLummis,sencynthialummis,,sencynthialummis,https://www.lummis.senate.gov
Darrell Issa,I000056,CA,48,Republican,Representative,repdarrellissa,congressmandarrellissa,,,https://issa.house.gov
Pete Sessions,S000250,TX,17,Republican,Representative,PeteSessions,petesessions,@congressmanpetesessions,congressmanpetesessions,https://sessions.house.gov
David Valadao,V000129,CA,22,Republican,Representative,RepDavidValadao,CongressmanDavidValadao,,,https://valadao.house.gov
Tommy Tuberville,T000278,AL,,Republican,Senator,SenTuberville,RogerMarshallMD,,sentuberville,https://www.tuberville.senate.gov
John Hickenlooper,H000273,CO,,Democrat,Senator,SenatorHick,SenatorHick,UCU6pcq-AZA9wnmIPBj6ePwQ,senatorhick,https://www.hickenlooper.senate.gov
Bill Hagerty,H000601,TN,,Republican,Senator,SenatorHagerty,SenatorBillHagerty,UCqLlLx05ScUwxVHvevyaDFg,senatorhagerty,https://www.hagerty.senate.gov
Barry Moore,M001212,AL,1,Republican,Representative,RepBarryMoore,RepBarryMoore,,,https://barrymoore.house.gov
Jay Obernolte,O000019,CA,23,Republican,Representative,JayObernolte,,,,https://obernolte.house.gov
Young Kim,K000397,CA,40,Republican,Representative,RepYoungKim,RepYoungKim,@RepYoungKim,repyoungkim,https://youngkim.house.gov
Sara Jacobs,J000305,CA,51,Democrat,Representative,RepSaraJacobs,RepSaraJacobs,,repsarajacobs,https://sarajacobs.house.gov
Lauren Boebert,B000825,CO,4,Republican,Representative,RepBoebert,RepBoebert,,,https://boebert.house.gov
Katherine Cammack,C001039,FL,3,Republican,Representative,RepKatCammack,RepKatCammack,,repkatcammack,https://cammack.house.gov
C. Franklin,F000472,FL,18,Republican,Representative,RepFranklin,RepFranklin,@RepFranklin,RepFranklin,https://franklin.house.gov
Byron Donalds,D000032,FL,19,Republican,Representative,RepDonaldsPress,,UCjy0W7sksMz37IYY27tAZNQ,byrondonalds,https://donalds.house.gov
Carlos Gimenez,G000593,FL,28,Republican,Representative,RepCarlos,RepCarlosGimenez,,repcarlosfl,https://gimenez.house.gov
Maria Salazar,S000168,FL,27,Republican,Representative,RepMariaSalazar,RepMariaSalazar,,repmariasalazar,https://salazar.house.gov
Nikema Williams,W000788,GA,5,Democrat,Representative,RepNikema,RepNikemaWilliams,,repnikema,https://nikemawilliams.house.gov
Andrew Clyde,C001116,GA,9,Republican,Representative,Rep_Clyde,RepresentativeClyde,UC-o-UOnLuu8pZxZpShG4s7A,repclyde,https://clyde.house.gov
Ashley Hinson,H001091,IA,2,Republican,Representative,RepAshleyHinson,RepAshleyHinson,,,https://hinson.house.gov
Mariannette Miller-Meeks,M001215,IA,1,Republican,Representative,RepMMM,RepMMM,,,https://millermeeks.house.gov
Randy Feenstra,F000446,IA,4,Republican,Representative,RepFeenstra,repfeenstra,,,https://feenstra.house.gov
Mary Miller,M001211,IL,15,Republican,Representative,RepMaryMiller,RepMaryMiller,,,https://marymiller.house.gov
Frank Mrvan,M001214,IN,1,Democrat,Representative,RepMrvan,RepMrvan,,,https://mrvan.house.gov
Victoria Spartz,S000929,IN,5,Republican,Representative,RepSpartz,RepSpartz,,,https://spartz.house.gov
Tracey Mann,M000871,KS,1,Republican,Representative,RepMann,Congressman-Tracey-Mann-105522931489227,,reptraceymann,https://mann.house.gov
Jake Auchincloss,A000148,MA,4,Democrat,Representative,RepAuchincloss,RepAuchincloss,RepAuchincloss,,https://auchincloss.house.gov
Lisa McClain,M001136,MI,9,Republican,Representative,RepLisaMcClain,RepLisaMcClain,,replisamcclain,https://mcclain.house.gov
Michelle Fischbach,F000470,MN,7,Republican,Representative,RepFischbach,repfischbach,UCAxs5zhFdAkGbkRnuC3osDw,repfischbach,https://fischbach.house.gov
Deborah Ross,R000305,NC,2,Democrat,Representative,RepDeborahRoss,RepDeborahRoss,,repdeborahross,https://ross.house.gov
Teresa Leger Fernandez,L000273,NM,3,Democrat,Representative,RepTeresaLF,RepTeresaLF,@rep.teresalegerfernandez8059,repteresalf,https://fernandez.house.gov
Andrew Garbarino,G000597,NY,2,Republican,Representative,RepGarbarino,RepAndrewGarbarino,,,https://garbarino.house.gov
Nicole Malliotakis,M000317,NY,11,Republican,Representative,RepMalliotakis,RepNicole,,,https://malliotakis.house.gov
Ritchie Torres,T000486,NY,15,Democrat,Representative,RepRitchie,RepRitchie,@RepRitchie,repritchie,https://ritchietorres.house.gov
Stephanie Bice,B000740,OK,5,Republican,Representative,RepBice,RepStephanieBice,,,https://bice.house.gov
Cliff Bentz,B000668,OR,2,Republican,Representative,RepBentz,RepBentz,,repbentz,https://bentz.house.gov
Nancy Mace,M000194,SC,1,Republican,Representative,RepNancyMace,RepNancyMace,,repnancymace,https://mace.house.gov
Diana Harshbarger,H001086,TN,1,Republican,Representative,RepHarshbarger,RepDianaHarshbarger,,,https://harshbarger.house.gov
Patrick Fallon,F000246,TX,4,Republican,Representative,RepPatFallon,RepPatFallon,RepPatFallon,RepPatFallon,https://fallon.house.gov
August Pfluger,P000048,TX,11,Republican,Representative,RepPfluger,RepAugustPfluger,UC8bJT16wpa7co50ELvpMTTg,repaugustpfluger,https://pfluger.house.gov
Ronny Jackson,J000304,TX,13,Republican,Representative,RepRonnyJackson,RepRonnyJackson,,RepRonnyJackson,https://jackson.house.gov
Troy Nehls,N000026,TX,22,Republican,Representative,RepTroyNehls,RepTroyNehls,,reptroynehls,https://nehls.house.gov
Ernest Gonzales,G000594,TX,23,Republican,Representative,RepTonyGonzales,RepTonyGonzales,,,https://gonzales.house.gov
Beth Van Duyne,V000134,TX,24,Republican,Representative,RepBethVanDuyne,RepBethVanDuyne,,repbethvanduyne,https://vanduyne.house.gov
Blake Moore,M001213,UT,1,Republican,Representative,RepBlakeMoore,RepBlakeMoore,@RepBlakeMoore,repblakemoore,https://blakemoore.house.gov
Clarence Owens,O000086,UT,4,Republican,Representative,RepBurgessOwens,CongressmanBurgessOwens,UCxeB7xjbLDJM9Yw6brXsX6Q,repburgessowens,https://owens.house.gov
Marilyn Strickland,S001159,WA,10,Democrat,Representative,RepStricklandWA,RepStricklandWA,,repstricklandwa,https://strickland.house.gov
Scott Fitzgerald,F000471,WI,5,Republican,Representative,RepFitzgerald,CongressmanScottFitzgerald,,,https://fitzgerald.house.gov
Alejandro Padilla,P000145,CA,,Democrat,Senator,SenAlexPadilla,SenAlexPadilla,,SenAlexPadilla,https://www.padilla.senate.gov
Jon Ossoff,O000174,GA,,Democrat,Senator,SenOssoff,SenOssoff,,jonossoff,https://www.ossoff.senate.gov
Raphael Warnock,W000790,GA,,Democrat,Senator,SenatorWarnock,SenatorWarnock,senatorwarnock,,https://www.warnock.senate.gov
Claudia Tenney,T000478,NY,24,Republican,Representative,RepTenney,RepClaudiaTenney,,,https://tenney.house.gov
Julia Letlow,L000595,LA,5,Republican,Representative,RepJuliaLetlow,repjulialetlow,,,https://letlow.house.gov
Troy Carter,C001125,LA,2,Democrat,Representative,RepTroyCarter,RepTroyCarter,,,https://troycarter.house.gov
Melanie Stansbury,S001218,NM,1,Democrat,Representative,Rep_Stansbury,RepStansbury,,,https://stansbury.house.gov
Jake Ellzey,E000071,TX,6,Republican,Representative,RepEllzey,RepJakeEllzey,,,https://ellzey.house.gov
Shontel Brown,B001313,OH,11,Democrat,Representative,RepShontelBrown,RepShontelBrown,,,https://shontelbrown.house.gov
Mike Carey,C001126,OH,15,Republican,Representative,RepMikeCarey,RepMikeCarey,@congressmanmikecarey,,https://carey.house.gov
Sheila Cherfilus-McCormick,C001127,FL,20,Democrat,Representative,,congresswomanSCM,,,https://cherfilus-mccormick.house.gov
Mike Flood,F000474,NE,1,Republican,Representative,USRepMikeFlood,Congressman-Mike-Flood-101986952582058,,,https://flood.house.gov
Brad Finstad,F000475,MN,1,Republican,Representative,RepFinstad,RepFinstad,@repfinstad,repfinstad,https://finstad.house.gov
Patrick Ryan,R000579,NY,18,Democrat,Representative,RepPatRyanNY,,,,https://patryan.house.gov
Rudy Yakym,Y000067,IN,2,Republican,Representative,RepRudyYakym,RepRudyYakym,,,https://yakym.house.gov
Ryan Zinke,Z000018,MT,1,Republican,Representative,RepRyanZinke,RepRyanZinke,,RepRyanZinke,https://zinke.house.gov
Katie Britt,B001319,AL,,Republican,Senator,SenKatieBritt,senkatiebritt,UCbrYQF8n5ftTPqn8ZNo5vYw,senkatiebritt,https://www.britt.senate.gov
Eric Schmitt,S001227,MO,,Republican,Senator,SenEricSchmitt,116059838031776,@senericschmitt,senericschmitt,https://www.schmitt.senate.gov
John Fetterman,F000479,PA,,Democrat,Senator,,SenFettermanPA,,senfettermanpa,https://www.fetterman.senate.gov
Dale Strong,S001220,AL,5,Republican,Representative,RepDaleStrong,repdalestrong,,repdalestrong,https://strong.house.gov
Eli Crane,C001132,AZ,2,Republican,Representative,RepEliCrane,100088851021670,@rep.elicrane,,https://crane.house.gov
Juan Ciscomani,C001133,AZ,6,Republican,Representative,RepCiscomani,100089186535085,UCD329AYGX7YnMMSUaTKWHwA,repjuanciscomani,https://ciscomani.house.gov
Kevin Kiley,K000401,CA,3,Republican,Representative,RepKiley,100089382125341,@repkevinkiley,,https://kiley.house.gov
Kevin Mullin,M001225,CA,15,Democrat,Representative,RepKevinMullin,CongressmanKevinMullin,UCAenuXjUZagZyD4HQL7_2ZA,repkevinmullin,https://kevinmullin.house.gov
Sydney Kamlager-Dove,K000400,CA,37,Democrat,Representative,RepKamlagerDove,RepKamlagerDove,,rep_kamlagerdove,https://kamlager-dove.house.gov
Robert Garcia,G000598,CA,42,Democrat,Representative,RepRobertGarcia,reprobertgarcia,,RepRobertGarcia,https://robertgarcia.house.gov
Brittany Pettersen,P000620,CO,7,Democrat,Representative,reppettersen,repbrittanypettersen,,reppettersen,https://pettersen.house.gov
Aaron Bean,B001314,FL,4,Republican,Representative,RepAaronBean,100089355874563,,RepAaronBean,https://bean.house.gov
Cory Mills,M001216,FL,7,Republican,Representative,RepMillsPress,100089218152197,,repcorymills,https://mills.house.gov
Maxwell Frost,F000476,FL,10,Democrat,Representative,RepMaxwellFrost,RepMaxwellFrost,,RepMaxwellFrost,https://frost.house.gov
Anna Luna,L000596,FL,13,Republican,Representative,RepLuna,,@RepLuna,repluna,https://luna.house.gov
Laurel Lee,L000597,FL,15,Republican,Representative,RepLaurelLee,RepLaurelLee,,replaurellee,https://laurellee.house.gov
Jared Moskowitz,M001217,FL,23,Democrat,Representative,RepMoskowitz,RepMoskowitz,@RepMoskowitz,repmoskowitz,https://moskowitz.house.gov
Rich McCormick,M001218,GA,7,Republican,Representative,RepMcCormick,100089135203690,,reprichmccormick,https://mccormick.house.gov
Mike Collins,C001129,GA,10,Republican,Representative,RepMikeCollins,RepMikeCollinsGA,,repmikecollins,https://collins.house.gov
James (Jim) Moylan,M001219,GU,0,Republican,Representative,JMoylanforGuam,100089324793869,,repjamesmoylan,https://moylan.house.gov
Jill Tokuda,T000487,HI,2,Democrat,Representative,RepJillTokuda,RepJillTokuda,UCBXwZrEZWQiSXebInVuYuvw,repjilltokuda,https://tokuda.house.gov
Zachary (Zach) Nunn,N000193,IA,3,Republican,Representative,ZachNunn,RepZachNunn,UCHcM0qd2GQ2CbOHSGZ06rrA,repzachnunn,https://nunn.house.gov
Jonathan Jackson,J000309,IL,1,Democrat,Representative,,repjackson,,repjackson,https://jonathanjackson.house.gov
Delia Ramirez,R000617,IL,3,Democrat,Representative,repdeliaramirez,Repdeliaramirez,,repdeliaramirez,https://ramirez.house.gov
Nicole (Nikki) Budzinski,B001315,IL,13,Democrat,Representative,RepNikkiB,RepNikkiBudzinski,UCp0Ykb-qUGx3ekTH9MIEK-w,repnikki,https://budzinski.house.gov
Eric Sorensen,S001225,IL,17,Democrat,Representative,RepEricSorensen,,,repericsorensen,https://sorensen.house.gov
Erin Houchin,H001093,IN,9,Republican,Representative,RepHouchin,RepHouchin,,rephouchin,https://houchin.house.gov
Morgan McGarvey,M001220,KY,3,Democrat,Representative,RepMcGarvey,RepMcGarvey,,repmcgarvey,https://mcgarvey.house.gov
Glenn Ivey,I000058,MD,4,Democrat,Representative,RepGlennIvey,RepGlennIvey,,repglennivey,https://ivey.house.gov
Hillary Scholten,S001221,MI,3,Democrat,Representative,RepScholten,100089476625799,,RepScholten,https://scholten.house.gov
John James,J000307,MI,10,Republican,Representative,RepJames,RepJohnJames,@RepJohnJames,RepJohnJames,https://james.house.gov
Shri Thanedar,T000488,MI,13,Democrat,Representative,RepShriThanedar,CongressmanShriThanedar,,RepShriThanedar,https://thanedar.house.gov
Mark Alford,A000379,MO,4,Republican,Representative,RepMarkAlford,100089595940547,@RepAlford,RepMarkAlford,https://alford.house.gov
Eric Burlison,B001316,MO,7,Republican,Representative,RepEricBurlison,100089208900263,UCuJFygzYhGiXMZHjhTQy20w,RepEricBurlison,https://burlison.house.gov
Mike Ezell,E000235,MS,4,Republican,Representative,RepEzell,repezell,UCseRXy2_n4j97lndfkQ_hAw,repmikeezell,https://ezell.house.gov
Donald Davis,D000230,NC,1,Democrat,Representative,RepDonDavis,RepDonDavis,,RepDonDavis,https://dondavis.house.gov
Valerie Foushee,F000477,NC,4,Democrat,Representative,ValerieFoushee,RepValerieFoushee,@RepValerieFoushee,repvaleriefoushee,https://foushee.house.gov
Charles (Chuck) Edwards,E000246,NC,11,Republican,Representative,RepEdwards,RepChuckEdwards,,repchuckedwards,https://edwards.house.gov
Thomas Kean,K000398,NJ,7,Republican,Representative,CongressmanKean,CongressmanKean,,congressmankean,https://kean.house.gov
Robert Menendez,M001226,NJ,8,Democrat,Representative,RepMenendez,repmenendez,,repmenendez,https://menendez.house.gov
Gabriel (Gabe) Vasquez,V000136,NM,2,Democrat,Representative,RepGabeVasquez,100089328694464,,RepGabeVasquez,https://vasquez.house.gov
Nicolas LaLota,L000598,NY,1,Republican,Representative,RepLaLota,replalota,,replalota,https://lalota.house.gov
Dan Goldman,G000599,NY,10,Democrat,Representative,RepDanGoldman,RepDanGoldman,,repdangoldman,https://goldman.house.gov
Michael Lawler,L000599,NY,17,Republican,Representative,RepMikeLawler,RepMikeLawler,@RepMikeLawler,RepMikeLawler,https://lawler.house.gov
Nicholas Langworthy,L000600,NY,23,Republican,Representative,RepLangworthy,RepLangworthy,,replangworthy,https://langworthy.house.gov
Greg Landsman,L000601,OH,1,Democrat,Representative,repgreglandsman,RepGregLandsman,,repgreglandsman,https://landsman.house.gov
Max Miller,M001222,OH,7,Republican,Representative,repmaxmiller,CongressmanMaxMiller,@RepMaxMiller,repmaxmiller,https://maxmiller.house.gov
Emilia Sykes,S001223,OH,13,Democrat,Representative,RepEmiliaSykes,repemiliasykes,@repemiliasykes,RepEmiliaSykes,https://sykes.house.gov
Josh Brecheen,B001317,OK,2,Republican,Representative,repbrecheen,100089040632497,UCSX3nV53o-1-e0nFA6pPs2w,repbrecheen,https://brecheen.house.gov
Valerie Hoyle,H001094,OR,4,Democrat,Representative,repvalhoyle,repvalhoyle,,RepHoyle,https://hoyle.house.gov
Andrea Salinas,S001226,OR,6,Democrat,Representative,repsalinas,RepSalinas,,repsalinas,https://salinas.house.gov
Summer Lee,L000602,PA,12,Democrat,Representative,RepSummerLee,RepSummerLee,UCqQJ44qlkVxWV5N12YeacyA,repsummerlee,https://summerlee.house.gov
Chris Deluzio,D000530,PA,17,Democrat,Representative,RepDeluzio,RepChrisDeluzio,,RepDeluzio,https://deluzio.house.gov
Seth Magaziner,M001223,RI,2,Democrat,Representative,Rep_Magaziner,repsethmagaziner,,,https://magaziner.house.gov
Russell Fry,F000478,SC,7,Republican,Representative,RepRussellFry,reprussellfry,@reprussellfry,reprussellfry,https://fry.house.gov
Andrew Ogles,O000175,TN,5,Republican,Representative,repogles,RepAndyOgles,,repandyogles,https://ogles.house.gov
Nathaniel Moran,M001224,TX,1,Republican,Representative,RepNateMoran,RepNateMoran,@RepNateMoran,RepNateMoran,https://moran.house.gov
Keith Self,S001224,TX,3,Republican,Representative,repkeithself,repkeithself,,repkeithself,https://keithself.house.gov
Morgan Luttrell,L000603,TX,8,Republican,Representative,RepLuttrell,100089328790942,,repluttrelltx,https://luttrell.house.gov
Mónica De La Cruz,D000594,TX,15,Republican,Representative,RepMonicaDLC,RepMonicaDLC,@RepMonicaDLC,RepMonicaDLC,https://delacruz.house.gov
Jasmine Crockett,C001130,TX,30,Democrat,Representative,RepJasmine,RepJasmine,,RepJasmine,https://crockett.house.gov
Gregorio Casar,C001131,TX,35,Democrat,Representative,RepCasar,RepCasar,,RepCasar,https://casar.house.gov
Wesley Hunt,H001095,TX,38,Republican,Representative,RepWesleyHunt,RepWesleyHunt,,repwph,https://hunt.house.gov
Jennifer Kiggans,K000399,VA,2,Republican,Representative,RepJenKiggans,repjenkiggans,@repjenkiggans,repjenkiggans,https://kiggans.house.gov
Becca Balint,B001318,VT,0,Democrat,Representative,RepBeccaB,repbeccab,YouTubeChannelID,repbeccab,https://balint.house.gov
Marie Gluesenkamp Perez,G000600,WA,3,Democrat,Representative,RepMGP,RepMGP,@repmgp,repmgp,https://gluesenkampperez.house.gov
Derrick Van Orden,V000135,WI,3,Republican,Representative,RepVanOrden,RepVanOrden,,RepVanOrden,https://vanorden.house.gov
Harriet Hageman,H001096,WY,0,Republican,Representative,RepHageman,,@rephageman,,https://hageman.house.gov
Pete Ricketts,R000618,NE,,Republican,Senator,SenatorRicketts,SenatorRicketts,@SenatorRicketts,SenatorRicketts,https://www.ricketts.senate.gov
Jennifer McClellan,M001227,VA,4,Democrat,Representative,RepMcClellan,,,repmcclellan,https://mcclellan.house.gov
Gabe Amo,A000380,RI,1,Democrat,Representative,RepGabeAmo,61553581414066,,repgabeamo,https://amo.house.gov
Celeste Maloy,M001228,UT,2,Republican,Representative,RepMaloyUtah,61555755717517,@RepCelesteMaloy,RepCelesteMaloy,https://maloy.house.gov
Thomas Suozzi,S001201,NY,3,Democrat,Representative,reptomsuozzi,RepTomSuozzi,,,https://suozzi.house.gov
Timothy Kennedy,K000402,NY,26,Democrat,Representative,reptimkennedy,reptimkennedy,@reptimkennedy,reptimkennedy,https://kennedy.house.gov
Vince Fong,F000480,CA,20,Republican,Representative,RepVinceFong,,,repvincefong,https://fong.house.gov
Michael Rulli,R000619,OH,6,Republican,Representative,,,,,https://rulli.house.gov
LaMonica McIver,M001229,NJ,10,Democrat,Representative,RepLaMonica,RepLaMonica,,replamonica,https://mciver.house.gov
Tony Wied,W000829,WI,8,Republican,Representative,RepTonyWied,61568624194199,,reptonywied,https://wied.house.gov
Cleo Fields,F000110,LA,6,Democrat,Representative,repfields,Congressman-Cleo-Fields,,repcleofields_,https://fields.house.gov
Marlin Stutzman,S001188,IN,3,Republican,Representative,RepStutzman,repstutzman,,repstutzman,https://stutzman.house.gov
Gilbert Cisneros,C001123,CA,31,Democrat,Representative,,RepGilCisneros,,repgilcisneros,https://cisneros.house.gov
Angela Alsobrooks,A000382,MD,,Democrat,Senator,,SenatorAlsobrooks,,sen_alsobrooks,https://www.alsobrooks.senate.gov
Tim Sheehy,S001232,MT,,Republican,Senator,,,,,https://www.sheehy.senate.gov
Bernie Moreno,M001242,OH,,Republican,Senator,berniemoreno,,,Berniemorenoforohio,https://www.moreno.senate.gov
Dave McCormick,M001243,PA,,Republican,Senator,,SenMcCormickPA,@SenMcCormickPA,senmccormickpa,https://www.mccormick.senate.gov
Nicholas Begich,B001323,AK,0,Republican,Representative,repnickbegich,RepNickBegich,,RepNickBegich,https://begich.house.gov
Shomari Figures,F000481,AL,2,Democrat,Representative,repscfigures,congressman.shomari.figures,,repscfigures,https://figures.house.gov
Yassamin Ansari,A000381,AZ,3,Democrat,Representative,RepYassAnsari,RepYassAnsari,,RepYassAnsari,https://ansari.house.gov
Abraham Hamadeh,H001098,AZ,8,Republican,Representative,,,,,https://hamadeh.house.gov
Lateefah Simon,S001231,CA,12,Democrat,Representative,RepLSimon,RepLSimon,,RepLSimon,https://simon.house.gov
Adam Gray,G000605,CA,13,Democrat,Representative,RepAdamGrayCA,repadamgrayca,,repadamgrayca,https://gray.house.gov
Sam Liccardo,L000607,CA,16,Democrat,Representative,repliccardo,,,repliccardo,https://liccardo.house.gov
George Whitesides,W000830,CA,27,Democrat,Representative,Rep_Whitesides,repwhitesides,,repwhitesides,https://whitesides.house.gov
Luz Rivas,R000620,CA,29,Democrat,Representative,RepLuzRivas,congresswomanluzrivas,,RepLuzRivas,https://rivas.house.gov
Laura Friedman,F000483,CA,30,Democrat,Representative,RepFriedmanCA,RepLauraFriedman,,RepLauraFriedman,https://friedman.house.gov
Derek Tran,T000491,CA,45,Democrat,Representative,,,,,https://tran.house.gov
Dave Min,M001241,CA,47,Democrat,Representative,,,,,https://min.house.gov
Jeff Hurd,H001100,CO,3,Republican,Representative,RepJeffHurd,61571570223582,@RepJeffHurd03,repjeffhurd,https://hurd.house.gov
Jeff Crank,C001137,CO,5,Republican,Representative,RepJeffCrank,RepJeffCrank,,repjeffcrank,https://crank.house.gov
Gabe Evans,E000300,CO,8,Republican,Representative,repgabeevans,RepGabeEvans,,RepGabeEvans,https://gabeevans.house.gov
Sarah McBride,M001238,DE,0,Democrat,Representative,,CongresswomanSarahMcBride,,congresswomansarahmcbride,https://mcbride.house.gov
Mike Haridopolos,H001099,FL,8,Republican,Representative,repharidopolos,,,,https://haridopolos.house.gov
Brian Jack,J000311,GA,3,Republican,Representative,RepBrianJack,RepBrianJack,,repbrianjack,https://jack.house.gov
Jefferson Shreve,S001229,IN,6,Republican,Representative,repshreve,RepJeffersonShreve,,repshreve,https://shreve.house.gov
Mark Messmer,M001233,IN,8,Republican,Representative,,CongressmanMessmer,,HouseRepublicans,https://messmer.house.gov
Derek Schmidt,S001228,KS,2,Republican,Representative,repderekschmidt,repderekschmidt,,repderekschmidt,https://schmidt.house.gov
Johnny Olszewski,O000176,MD,2,Democrat,Representative,RepJohnnyO,,,repjohnnyo,https://olszewski.house.gov
Sarah Elfreth,E000301,MD,3,Democrat,Representative,repsarahelfreth,RepSarahElfreth,,RepSarahElfreth,https://elfreth.house.gov
April McClain Delaney,M001232,MD,6,Democrat,Representative,RepAprilDelaney,RepAprilDelaney,,repaprildelaney,https://mcclaindelaney.house.gov
Tom Barrett,B001321,MI,7,Republican,Representative,reptombarrett,RepTomBarrett,,,https://barrett.house.gov
Kristen McDonald Rivet,M001237,MI,8,Democrat,Representative,repkmr,repmcdonaldrivet,,repmcdonaldrivet,https://mcdonaldrivet.house.gov
Kelly Morrison,M001234,MN,3,Democrat,Representative,kellymorrisonmn,repkellymorrison,,kellymorrisonmn,https://morrison.house.gov
